Model,R@1km,R@5km,R@10km,R@20km,R@100km,R@200km,R@750km
gpt-4-turbo,21.941,39.241,42.194,46.835,56.118,61.181,75.105
gpt-4o-mini,14.768,34.599,37.553,40.506,49.367,54.852,73.418
gpt-4o,20.675,42.616,46.414,51.055,59.072,64.979,75.527
gpt-o3,16.878,32.068,34.599,36.709,40.928,42.616,50.633
gpt-o4-mini,10.549,21.097,23.207,24.895,30.802,32.068,36.287
gemini-1.5-flash-8b,6.751,26.160,30.802,35.021,47.679,56.962,72.574
gemini-1.5-flash,12.658,33.333,39.241,44.726,56.118,64.979,79.747
gemini-1.5-pro,18.565,39.241,45.570,47.679,59.494,67.089,80.591
gemini-2.0-flash,16.456,39.662,42.616,45.148,55.274,62.025,75.527
gemini-2.0-flash-lite,16.034,39.662,44.726,49.367,58.650,67.089,75.949
phi-4-multimodal-instruct,0.422,1.266,1.688,3.376,4.219,7.595,11.392
claude-3-5-sonnet-latest,17.300,35.865,40.084,43.038,48.945,54.430,68.776
claude-3-7-sonnet-latest,18.987,39.241,41.772,43.460,48.523,55.274,69.198
llama-4-scout-17b-16e-instruct,0.000,0.000,0.000,0.000,0.000,0.000,0.422
idefics-9b-instruct,0.000,0.000,0.000,0.000,0.000,0.000,0.000
idefics-80b-instruct,0.000,0.000,0.000,0.000,0.000,0.000,0.422
paligemma-3b-mix-224,0.000,0.000,0.000,0.000,0.000,0.000,0.000
qwen-2.5-vl-7b-instruct,4.219,18.143,22.785,29.536,39.662,46.835,65.401
qwen-2.5-vl-32b-instruct,10.549,24.473,28.270,29.536,37.975,44.726,58.228
qwen-2.5-vl-72b-instruct,10.127,28.692,32.489,35.443,44.726,51.477,65.823
gpt-4.1,23.207,44.726,48.523,53.165,63.291,68.354,80.591
gpt-4.1-mini,16.456,33.333,37.553,41.350,52.743,59.072,74.262
gpt-4.1-nano,5.907,17.300,19.831,21.519,24.473,28.270,38.397
